Round	Date	Number	Sample	Replicate	Background	Population	Population2	Condition	Condition2	Clone	Evo_Round_1	Evo_Round_2	Timepoint	Drug	DiscArea	ZoneArea	Disc Radius	Zone Radius	Difference
1	1/11/20	6	WT	1	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	43.389	824.056	3.716335245	16.19583809	12.47950285
1	3/4/21	43	WT	2	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	41.322	144.259	3.626734222	6.776360813	3.149626591
1	3/4/21	44	WT	2	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	46.858	536.856	3.862041513	13.07235909	9.21031758
1	3/4/21	45	WT	2	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	44.033	44.033	3.743813459	3.743813459	0
1	3/4/21	46	WT	2	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	42.593	343.511	3.682088128	10.45671781	6.77462968
1	3/4/21	47	WT	2	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	46.858	633.399	3.862041513	14.19919588	10.33715437
1	3/4/21	48	WT	2	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	44.033	900.918	3.743813459	16.93431741	13.19050395
1	3/30/21	115	WT	3	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	39.239	154.31	3.534142276	7.008451936	3.47430966
1	3/30/21	116	WT	3	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	40.666	529.667	3.597831268	12.98453859	9.386707326
1	3/30/21	117	WT	3	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	42.004	42.004	3.656540504	3.656540504	0
1	3/30/21	118	WT	3	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	41.855	349.391	3.650049354	10.54583375	6.895784394
1	3/30/21	119	WT	3	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	41.338	524.643	3.627436295	12.92281137	9.295375072
1	3/30/21	120	WT	3	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	43.49	801.353	3.720658134	15.97117974	12.2505216
1	4/13/21	247	WT	4	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	39.613	158.955	3.550944877	7.113153166	3.562208288
1	4/13/21	248	WT	4	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	38.446	505.523	3.498248402	12.68514756	9.186899157
1	4/13/21	249	WT	4	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	42.466	42.466	3.676594569	3.676594569	0
1	4/13/21	250	WT	4	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	42.466	338.373	3.676594569	10.378221	6.70162643
1	4/13/21	251	WT	4	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	43.899	562.912	3.738112584	13.38583037	9.647717784
1	4/13/21	252	WT	4	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	46.722	855.656	3.856432873	16.50344703	12.64701416
2	2/16/23	109	WTAra+	5	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	41.052	139.793	3.614866173	6.670644191	3.055778018
2	2/16/23	110	WTAra+	5	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	41.4	482.51	3.630155546	12.3930506	8.762895054
2	2/16/23	111	WTAra+	5	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	38.672	64.136	3.508515344	4.518309735	1.009794391
2	2/16/23	112	WTAra+	5	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	41.052	255.636	3.614866173	9.020613397	5.405747225
2	2/16/23	113	WTAra+	5	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	38.65	550.394	3.507517227	13.23615698	9.728639749
2	2/16/23	114	WTAra+	5	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	40.37	717.968	3.584713392	15.11741752	11.53270412
2	2/23/23	151	WTAra+	6	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	38.895	152.587	3.518616635	6.969214549	3.450597914
2	2/23/23	152	WTAra+	6	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	39.752	562.516	3.557169464	13.38112129	9.823951826
2	2/23/23	153	WTAra+	6	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	41.642	71.849	3.640749961	4.782284747	1.141534786
2	2/23/23	154	WTAra+	6	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	41.288	213.644	3.625241865	8.246514323	4.621272458
2	2/23/23	155	WTAra+	6	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	41.054	606.94	3.614954228	13.89946062	10.2845064
