Round	Date	Number	Sample	Replicate	Background	Population	Clone	Evo_Round_1	Evo_Round_2	Timepoint	Drug	DiscArea	ZoneArea	Disc Radius	Zone Radius	Difference
1	3/17/21	101	508-4	1	P508	508-FR	508-FR-B	100-day	NA	300	TET	44.094	790.498	3.74640576	15.86263939	12.11623363
1	3/17/21	102	508-4	1	P508	508-FR	508-FR-B	100-day	NA	300	TMS	41.27	790.685	3.624451545	15.86451551	12.24006396
1	3/17/21	103	503-1	1	P503	503-FR	503-FR-A	100-day	NA	300	ERY	41.701	105.7	3.643328226	5.800461617	2.157133391
1	3/17/21	104	503-1	1	P503	503-FR	503-FR-A	100-day	NA	300	NAL	43.027	622.146	3.700799842	14.0724988	10.37169896
1	3/17/21	105	503-1	1	P503	503-FR	503-FR-A	100-day	NA	300	PEN	41.701	124.402	3.643328226	6.292724884	2.649396657
1	3/17/21	106	503-1	1	P503	503-FR	503-FR-A	100-day	NA	300	STR	47.523	298.857	3.889349653	9.753416717	5.864067064
1	3/17/21	107	503-1	1	P503	503-FR	503-FR-A	100-day	NA	300	TET	41.701	579.393	3.643328226	13.5803726	9.937044371
1	3/17/21	108	503-1	1	P503	503-FR	503-FR-A	100-day	NA	300	TMS	41.701	840.634	3.643328226	16.3579373	12.71460908
1	3/30/21	115	WT	3	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	39.239	154.31	3.534142276	7.008451936	3.47430966
1	3/30/21	116	WT	3	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	40.666	529.667	3.597831268	12.98453859	9.386707326
1	3/30/21	117	WT	3	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	42.004	42.004	3.656540504	3.656540504	0
1	3/30/21	118	WT	3	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	41.855	349.391	3.650049354	10.54583375	6.895784394
1	3/30/21	119	WT	3	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	41.338	524.643	3.627436295	12.92281137	9.295375072
1	3/30/21	120	WT	3	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	43.49	801.353	3.720658134	15.97117974	12.2505216
1	3/30/21	121	403-2	2	P403	403-FR	403-FR-B	10-day	NA	300	ERY	42.004	321.656	3.656540504	10.11861081	6.462070307
1	3/30/21	122	403-2	2	P403	403-FR	403-FR-B	10-day	NA	300	NAL	47.785	1022.637	3.900056142	18.0420472	14.14199106
1	3/30/21	123	403-2	2	P403	403-FR	403-FR-B	10-day	NA	300	PEN	44.828	378.196	3.777458878	10.97194266	7.194483781
1	3/30/21	124	403-2	2	P403	403-FR	403-FR-B	10-day	NA	300	STR	42.004	333.338	3.656540504	10.30071749	6.644176987
1	3/30/21	125	403-2	2	P403	403-FR	403-FR-B	10-day	NA	300	TET	40.852	1173.083	3.606049843	19.32366208	15.71761224
1	3/30/21	126	403-2	2	P403	403-FR	403-FR-B	10-day	NA	300	TMS	47.904	1615.562	3.904909319	22.67706675	18.77215743
1	3/30/21	133	408-3	2	P408	408-FR	408-FR-B	10-day	NA	300	ERY	39.614	740.848	3.550989697	15.35640722	11.80541752
1	3/30/21	134	408-3	2	P408	408-FR	408-FR-B	10-day	NA	300	NAL	41.022	770.271	3.613545095	15.65838032	12.04483523
1	3/30/21	135	408-3	2	P408	408-FR	408-FR-B	10-day	NA	300	PEN	38.322	164.001	3.492602391	7.225174022	3.732571631
1	3/30/21	136	408-3	2	P408	408-FR	408-FR-B	10-day	NA	300	STR	45.261	210.495	3.795658541	8.185514003	4.389855462
1	3/30/21	137	408-3	2	P408	408-FR	408-FR-B	10-day	NA	300	TET	45.261	758.746	3.795658541	15.54079641	11.74513786
1	3/30/21	138	408-3	2	P408	408-FR	408-FR-B	10-day	NA	300	TMS	39.715	991.944	3.555513624	17.76923132	14.2137177
1	3/30/21	145	408-1	2	P408	408-FR	408-FR-A	10-day	NA	300	ERY	39.71	280.9	3.555289803	9.455857816	5.900568013
1	3/30/21	146	408-1	2	P408	408-FR	408-FR-A	10-day	NA	300	NAL	43.89	1012.38	3.737729378	17.95133874	14.21360936
1	3/30/21	147	408-1	2	P408	408-FR	408-FR-A	10-day	NA	300	PEN	42.467	94.427	3.676637858	5.482430813	1.805792956
1	3/30/21	148	408-1	2	P408	408-FR	408-FR-A	10-day	NA	300	STR	42.467	541.785	3.676637858	13.13223217	9.455594309
1	3/30/21	149	408-1	2	P408	408-FR	408-FR-A	10-day	NA	300	TET	42.467	1032.83	3.676637858	18.13174012	14.45510226
1	3/30/21	150	408-1	2	P408	408-FR	408-FR-A	10-day	NA	300	TMS	43.774	1603.048	3.732786755	22.58906874	18.85628198
1	3/30/21	151	403-1	2	P403	403-FR	403-FR-A	10-day	NA	300	ERY	40.028	504.632	3.569496901	12.67396365	9.104466745
1	3/30/21	152	403-1	2	P403	403-FR	403-FR-A	10-day	NA	300	NAL	37.748	723.102	3.466347009	15.17137157	11.70502456
1	3/30/21	153	403-1	2	P403	403-FR	403-FR-A	10-day	NA	300	PEN	37.394	162.918	3.450055055	7.201278361	3.751223306
1	3/30/21	154	403-1	2	P403	403-FR	403-FR-A	10-day	NA	300	STR	42.72	482.465	3.687573503	12.39247268	8.704899182
1	3/30/21	155	403-1	2	P403	403-FR	403-FR-A	10-day	NA	300	TET	39.986	903.102	3.567623734	16.95483102	13.38720728
1	3/30/21	156	403-1	2	P403	403-FR	403-FR-A	10-day	NA	300	TMS	42.72	1247.96	3.687573503	19.93083053	16.24325703
1	4/6/21	157	503-3	2	P503	503-FR	503-FR-B	100-day	NA	300	ERY	40.081	182.685	3.571859256	7.625643682	4.053784425
1	4/6/21	158	503-3	2	P503	503-FR	503-FR-B	100-day	NA	300	NAL	41.543	680.407	3.636419613	14.71666656	11.08024695
1	4/6/21	159	503-3	2	P503	503-FR	503-FR-B	100-day	NA	300	PEN	38.846	100.663	3.516399556	5.660567822	2.144168266
1	4/6/21	160	503-3	2	P503	503-FR	503-FR-B	100-day	NA	300	STR	40.123	333.751	3.573730203	10.30709672	6.733366518
1	4/6/21	161	503-3	2	P503	503-FR	503-FR-B	100-day	NA	300	TET	45.76	843.258	3.816524648	16.38344768	12.56692304
1	4/6/21	162	503-3	2	P503	503-FR	503-FR-B	100-day	NA	300	TMS	44.269	983.576	3.753832755	17.69412232	13.94028956
1	4/6/21	163	503-1	2	P503	503-FR	503-FR-A	100-day	NA	300	ERY	41.415	115.683	3.630813123	6.068199285	2.437386162
1	4/6/21	164	503-1	2	P503	503-FR	503-FR-A	100-day	NA	300	NAL	38.627	656.292	3.506473438	14.4535197	10.94704627
1	4/6/21	165	503-1	2	P503	503-FR	503-FR-A	100-day	NA	300	PEN	42.803	152.13	3.691154028	6.958770221	3.267616193
1	4/6/21	166	503-1	2	P503	503-FR	503-FR-A	100-day	NA	300	STR	42.803	317.24	3.691154028	10.0489118	6.357757768
1	4/6/21	167	503-1	2	P503	503-FR	503-FR-A	100-day	NA	300	TET	41.341	716.886	3.627567919	15.10602201	11.47845409
1	4/6/21	168	503-1	2	P503	503-FR	503-FR-A	100-day	NA	300	TMS	41.415	1068.379	3.630813123	18.44113874	14.81032561
1	4/6/21	169	103-7	2	P103	103-FR	103-FR-B	1-day	NA	300	ERY	41.289	162.918	3.625285767	7.201278361	3.575992595
1	4/6/21	170	103-7	2	P103	103-FR	103-FR-B	1-day	NA	300	NAL	38.754	504.759	3.512233097	12.67555836	9.163325267
1	4/6/21	171	103-7	2	P103	103-FR	103-FR-B	1-day	NA	300	PEN	41.445	41.445	3.632127921	3.632127921	0
1	4/6/21	172	103-7	2	P103	103-FR	103-FR-B	1-day	NA	300	STR	39.986	321.53	3.567623734	10.11662877	6.549005037
1	4/6/21	173	103-7	2	P103	103-FR	103-FR-B	1-day	NA	300	TET	42.833	543.399	3.692447339	13.15177835	9.459331013
1	4/6/21	174	103-7	2	P103	103-FR	103-FR-B	1-day	NA	300	TMS	45.552	743.258	3.80784085	15.38136435	11.5735235
1	4/6/21	175	108-5	2	P108	108-FR	108-FR-B	1-day	NA	300	ERY	39.024	91.968	3.524446765	5.410575165	1.8861284
1	4/6/21	176	108-5	2	P108	108-FR	108-FR-B	1-day	NA	300	NAL	41.803	442.964	3.647781267	11.87433453	8.226553258
1	4/6/21	177	108-5	2	P108	108-FR	108-FR-B	1-day	NA	300	PEN	37.821	37.821	3.469697135	3.469697135	0
1	4/6/21	178	108-5	2	P108	108-FR	108-FR-B	1-day	NA	300	STR	40.448	257.409	3.588174783	9.051841221	5.463666438
1	4/6/21	179	108-5	2	P108	108-FR	108-FR-B	1-day	NA	300	TET	40.296	469.104	3.581426416	12.21967433	8.638247919
1	4/6/21	180	108-5	2	P108	108-FR	108-FR-B	1-day	NA	300	TMS	40.448	785.651	3.588174783	15.81393311	12.22575833
1	4/6/21	181	103-1	2	P103	103-FR	103-FR-A	1-day	NA	300	ERY	42.72	123.484	3.687573503	6.269463931	2.581890429
1	4/6/21	182	103-1	2	P103	103-FR	103-FR-A	1-day	NA	300	NAL	39.065	588.541	3.526297733	13.68716255	10.16086482
1	4/6/21	183	103-1	2	P103	103-FR	103-FR-A	1-day	NA	300	PEN	38.654	96.133	3.507698724	5.531734293	2.024035569
1	4/6/21	184	103-1	2	P103	103-FR	103-FR-A	1-day	NA	300	STR	40.028	401.643	3.569496901	11.30694201	7.737445109
1	4/6/21	185	103-1	2	P103	103-FR	103-FR-A	1-day	NA	300	TET	41.445	523.527	3.632127921	12.9090596	9.27693168
1	4/6/21	186	103-1	2	P103	103-FR	103-FR-A	1-day	NA	300	TMS	41.445	878.555	3.632127921	16.722821	13.09069307
1	4/6/21	187	508-3	2	P508	508-FR	508-FR-A	100-day	NA	300	ERY	39.931	118.54	3.56516929	6.142674817	2.577505527
1	4/6/21	188	508-3	2	P508	508-FR	508-FR-A	100-day	NA	300	NAL	36.128	632.655	3.391150184	14.19085413	10.79970395
1	4/6/21	189	508-3	2	P508	508-FR	508-FR-A	100-day	NA	300	PEN	36.036	36.036	3.386829647	3.386829647	0
1	4/6/21	190	508-3	2	P508	508-FR	508-FR-A	100-day	NA	300	STR	36.128	154.47	3.391150184	7.012084435	3.620934251
1	4/6/21	191	508-3	2	P508	508-FR	508-FR-A	100-day	NA	300	TET	38.637	669.154	3.506927298	14.59446243	11.08753513
1	4/6/21	192	508-3	2	P508	508-FR	508-FR-A	100-day	NA	300	TMS	38.637	908.53	3.506927298	17.0057073	13.49878001
1	4/6/21	193	508-4	2	P508	508-FR	508-FR-B	100-day	NA	300	ERY	39.541	39.541	3.547716337	3.547716337	0
1	4/6/21	194	508-4	2	P508	508-FR	508-FR-B	100-day	NA	300	NAL	40.865	684.432	3.606623559	14.76013117	11.15350761
1	4/6/21	195	508-4	2	P508	508-FR	508-FR-B	100-day	NA	300	PEN	38.189	38.189	3.486536425	3.486536425	0
1	4/6/21	196	508-4	2	P508	508-FR	508-FR-B	100-day	NA	300	STR	39.541	213.959	3.547716337	8.252591407	4.70487507
1	4/6/21	197	508-4	2	P508	508-FR	508-FR-B	100-day	NA	300	TET	42.135	695.203	3.662237984	14.8758189	11.21358091
1	4/6/21	198	508-4	2	P508	508-FR	508-FR-B	100-day	NA	300	TMS	40.757	880.405	3.601854527	16.74041861	13.13856409
1	4/6/21	199	108-2	2	P108	108-FR	108-FR-A	1-day	NA	300	ERY	38.653	175.35	3.507653351	7.47098645	3.963333099
1	4/6/21	200	108-2	2	P108	108-FR	108-FR-A	1-day	NA	300	NAL	41.189	461.902	3.62089297	12.12550919	8.504616217
1	4/6/21	201	108-2	2	P108	108-FR	108-FR-A	1-day	NA	300	PEN	37.332	37.332	3.447193739	3.447193739	0
1	4/6/21	202	108-2	2	P108	108-FR	108-FR-A	1-day	NA	300	STR	40.185	317.635	3.576490287	10.05516587	6.478675584
1	4/6/21	203	108-2	2	P108	108-FR	108-FR-A	1-day	NA	300	TET	37.292	466.288	3.445346467	12.18294218	8.737595715
1	4/6/21	204	108-2	2	P108	108-FR	108-FR-A	1-day	NA	300	TMS	33.725	734.082	3.276431124	15.28612305	12.00969192
1	4/13/21	217	408-1	3	P408	408-FR	408-FR-A	10-day	NA	300	ERY	42.6	238.112	3.682390684	8.705940708	5.023550024
1	4/13/21	218	408-1	3	P408	408-FR	408-FR-A	10-day	NA	300	NAL	43.57	706.637	3.724078643	14.99765125	11.27357261
1	4/13/21	219	408-1	3	P408	408-FR	408-FR-A	10-day	NA	300	PEN	38.269	38.269	3.49018639	3.49018639	0
1	4/13/21	220	408-1	3	P408	408-FR	408-FR-A	10-day	NA	300	STR	37.067	534.795	3.434937052	13.04724245	9.612305399
1	4/13/21	221	408-1	3	P408	408-FR	408-FR-A	10-day	NA	300	TET	38.283	749.36	3.490824741	15.44437426	11.95354952
1	4/13/21	222	408-1	3	P408	408-FR	408-FR-A	10-day	NA	300	TMS	39.635	1212.822	3.55193079	19.6482374	16.09630661
1	4/13/21	223	403-2	3	P403	403-FR	403-FR-B	10-day	NA	300	ERY	44.228	306.277	3.752094035	9.873752934	6.1216589
1	4/13/21	224	403-2	3	P403	403-FR	403-FR-B	10-day	NA	300	NAL	40.107	828.111	3.573017577	16.23563729	12.66261971
1	4/13/21	225	403-2	3	P403	403-FR	403-FR-B	10-day	NA	300	PEN	39.426	117.716	3.542553538	6.121287982	2.578734444
1	4/13/21	226	403-2	3	P403	403-FR	403-FR-B	10-day	NA	300	STR	44.228	306.277	3.752094035	9.873752934	6.1216589
1	4/13/21	227	403-2	3	P403	403-FR	403-FR-B	10-day	NA	300	TET	42.773	960.118	3.689860263	17.4818492	13.79198893
1	4/13/21	228	403-2	3	P403	403-FR	403-FR-B	10-day	NA	300	TMS	41.804	1464.372	3.647824897	21.58990701	17.94208211
1	4/13/21	235	403-1	3	P403	403-FR	403-FR-A	10-day	NA	300	ERY	43.797	277.398	3.733767278	9.396729527	5.662962249
1	4/13/21	236	403-1	3	P403	403-FR	403-FR-A	10-day	NA	300	NAL	45.305	1035.02	3.797503047	18.1509531	14.35345005
1	4/13/21	237	403-1	3	P403	403-FR	403-FR-A	10-day	NA	300	PEN	43.143	84.526	3.705785129	5.187047468	1.48126234
1	4/13/21	238	403-1	3	P403	403-FR	403-FR-A	10-day	NA	300	STR	42.029	740.59	3.657628495	15.35373305	11.69610456
1	4/13/21	239	403-1	3	P403	403-FR	403-FR-A	10-day	NA	300	TET	45.593	1040.545	3.809554126	18.19933407	14.38977994
1	4/13/21	240	403-1	3	P403	403-FR	403-FR-A	10-day	NA	300	TMS	37.37	1607.991	3.44894773	22.62386864	19.17492091
1	4/13/21	241	408-3	3	P408	408-FR	408-FR-B	10-day	NA	300	ERY	43.294	756.112	3.712264567	15.51379788	11.80153331
